# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Apr  6 12:14:36 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 8.69897 1.9500001669 2.5663545132    1.950  1.274  3.9444  4.184    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.191e-01 2.660e-01 2.633e-03 7.195e-04 6.538e-03 -1.000 1.487e-02 1.585 1.741 1.695 1.612 1.574 1.544 1.503 1.481 1.474
0.0152 0.01508 8.69897 1.9796873331 2.5676689148    1.980  1.305  3.9479  4.173    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.191e-01 2.660e-01 2.633e-03 7.195e-04 6.539e-03 -1.000 1.489e-02 1.507 1.659 1.618 1.544 1.510 1.484 1.449 1.430 1.423
0.0152 0.01508 8.69897 2.0000000000 2.5685424805    2.000  1.326  3.9501  4.165    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.191e-01 2.660e-01 2.634e-03 7.195e-04 6.539e-03 -1.000 1.489e-02 1.455 1.604 1.566 1.497 1.467 1.443 1.411 1.394 1.388
0.0152 0.01508 8.69897 2.0287802219 2.5697460175    2.029  1.356  3.9533  4.154    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.191e-01 2.661e-01 2.634e-03 7.196e-04 6.539e-03 -1.000 1.488e-02 1.380 1.527 1.495 1.433 1.406 1.386 1.358 1.343 1.337
0.0152 0.01508 8.69897 2.0499999523 2.5706083775    2.050  1.378  3.9555  4.146    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.191e-01 2.661e-01 2.634e-03 7.196e-04 6.539e-03 -1.000 1.489e-02 1.326 1.470 1.442 1.385 1.361 1.343 1.318 1.305 1.300
0.0152 0.01508 8.69897 2.0999999046 2.5725615025    2.099  1.429  3.9602  4.124    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.190e-01 2.661e-01 2.634e-03 7.196e-04 6.539e-03 -1.000 1.488e-02 1.198 1.337 1.318 1.273 1.253 1.240 1.222 1.212 1.208
0.0152 0.01508 8.69897 2.1500000954 2.5744106770    2.149  1.480  3.9642  4.099    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.190e-01 2.661e-01 2.634e-03 7.197e-04 6.541e-03 -1.000 1.487e-02 1.071 1.207 1.196 1.161 1.145 1.136 1.122 1.115 1.112
0.0152 0.01508 8.69897 2.1595706940 2.5747535229    2.158  1.489  3.9649  4.094    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.190e-01 2.661e-01 2.634e-03 7.198e-04 6.541e-03 -1.000 1.487e-02 1.046 1.182 1.173 1.139 1.124 1.116 1.103 1.096 1.093
0.0152 0.01508 8.69897 2.2000000477 2.5761635303    2.199  1.530  3.9676  4.072    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.189e-01 2.662e-01 2.635e-03 7.199e-04 6.542e-03 -1.000 1.484e-02 0.944 1.077 1.074 1.047 1.035 1.029 1.019 1.014 1.012
0.0152 0.01508 8.69897 2.2326714993 2.5772600174    2.231  1.563  3.9695  4.053    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.189e-01 2.662e-01 2.635e-03 7.200e-04 6.542e-03 -1.000 1.487e-02 0.862 0.993 0.995 0.972 0.961 0.957 0.950 0.946 0.944
0.0152 0.01508 8.69897 2.2500000000 2.5778269768    2.249  1.581  3.9703  4.043    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.189e-01 2.662e-01 2.635e-03 7.200e-04 6.543e-03 -1.000 1.488e-02 0.819 0.948 0.952 0.931 0.922 0.919 0.913 0.909 0.907
0.0152 0.01508 8.69897 2.2723705769 2.5785439014    2.271  1.603  3.9714  4.029    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.188e-01 2.663e-01 2.635e-03 7.201e-04 6.543e-03 -1.000 1.488e-02 0.762 0.891 0.898 0.880 0.871 0.869 0.864 0.861 0.860
0.0152 0.01508 8.69897 2.2999999523 2.5794074535    2.299  1.631  3.9722  4.009    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.188e-01 2.663e-01 2.636e-03 7.202e-04 6.545e-03 -1.000 1.490e-02 0.693 0.820 0.829 0.814 0.806 0.804 0.801 0.798 0.797
0.0152 0.01508 8.69897 2.3194940090 2.5800025463    2.318  1.650  3.9727  3.996    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.188e-01 2.663e-01 2.636e-03 7.202e-04 6.545e-03 -1.000 1.491e-02 0.644 0.771 0.780 0.767 0.760 0.758 0.755 0.753 0.752
0.0152 0.01508 8.69897 2.3707871437 2.5815145969    2.370  1.702  3.9727  3.954    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.187e-01 2.664e-01 2.637e-03 7.204e-04 6.547e-03 -1.000 1.490e-02 0.515 0.638 0.649 0.638 0.631 0.630 0.627 0.624 0.624
0.0152 0.01508 8.69897 2.4000000954 2.5823426247    2.399  1.731  3.9723  3.928    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.186e-01 2.665e-01 2.637e-03 7.206e-04 6.548e-03 -1.000 1.488e-02 0.442 0.563 0.573 0.563 0.556 0.555 0.551 0.548 0.547
0.0152 0.01508 8.69897 2.4448535442 2.5835697651    2.444  1.776  3.9709  3.886    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.167e-01 2.684e-01 2.652e-03 7.246e-04 6.584e-03 -1.000 1.496e-02 0.331 0.449 0.457 0.447 0.439 0.437 0.431 0.428 0.427
0.0152 0.01508 8.69897 2.4908134937 2.5847744942    2.490  1.821  3.9673  3.834    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.146e-01 2.704e-01 2.668e-03 7.289e-04 6.622e-03 -1.000 1.507e-02 0.217 0.333 0.332 0.319 0.308 0.303 0.293 0.287 0.286
